iter	Passed	Remaining
163	273527	1394321
164	275169	1392525
165	276820	1390772
166	278453	1388932
167	280107	1387199
168	281728	1385305
169	283366	1383494
170	285010	1381717
171	286657	1379957
172	288391	1378613
173	290077	1377035
174	291721	1375258
175	293350	1373412
176	295177	1372492
177	296851	1370851
178	298497	1369086
179	300168	1367436
180	301828	1365731
181	303481	1363998
182	305159	1362380
183	306882	1360957
184	308541	1359250
185	310432	1358557
186	312359	1358013
187	314121	1356738
188	316021	1356051
189	317912	1355312
190	321450	1361536
191	324450	1365394
192	326209	1363993
193	328205	1363576
194	330375	1363856
195	333362	1367466
196	335062	1365763
197	336778	1364121
198	338735	1363453
199	341080	1364322
200	343223	1364357
201	344937	1362672
202	346695	1361165
203	348394	1359420
204	350576	1359553
205	352414	1358335
206	354165	1356780
207	356037	1355681
208	357922	1354626
209	359702	1353166
210	361402	1351403
211	363131	1349751
212	364920	1348320
213	366777	1347134
214	368589	1345779
215	370627	1345241
216	373938	1349279
217	376664	1351154
218	378365	1349332
219	380086	1347580
220	381705	1345467
221	383361	1343491
222	385086	1341760
223	386824	1340070
224	388511	1338206
225	390443	1337184
226	392077	1335137
227	394031	1334176
228	396062	1333469
229	397745	1331584
230	399634	1330385
231	401793	1330074
232	403489	1328226
233	405193	1326403
234	406858	1324454
235	408509	1322461
236	410142	1320417
237	411846	1318601
238	413506	1316644
239	415167	1314698
240	416811	1312697
241	418624	1311227
242	420285	1309285
243	421936	1307310
244	423566	1305277
245	425235	1303362
246	426973	1301664
247	428675	1299855
248	430362	1298000
249	432154	1296462
250	434106	1295400
251	436304	1295061
252	439280	1297006
253	441916	1297911
254	443787	1296554
255	445458	1294615
256	447174	1292803
257	448831	1290826
258	450713	1289491
259	452486	1287846
260	454153	1285899
261	455812	1283929
262	457473	1281969
263	459114	1279955
264	460769	1277983
265	462404	1275959
266	464019	1273880
267	465783	1272214
268	467648	1270820
269	469618	1269708
270	471378	1268025
271	473122	1266298
272	475050	1265060
273	477446	1265059
274	479289	1263582
275	480950	1261624
276	482608	1259660
277	484230	1257604
278	485873	1255609
279	487490	1253546
280	489183	1251682
281	490920	1249931
282	492641	1248141
283	494390	1246419
284	496019	1244400
285	497851	1242889
286	499901	1241916
287	501959	1240954
288	503721	1239258
289	505421	1237411
290	507095	1235499
291	508841	1233765
292	510561	1231968
293	512322	1230270
294	514020	1228420
295	516251	1227840
296	518092	1226327
297	519737	1224348
298	521388	1222384
299	523058	1220469
300	524733	1218566
301	526442	1216744
302	528232	1215109
303	530046	1213528
304	531752	1211699
305	533488	1209938
306	535165	1208045
307	536903	1206289
308	538641	1204535
309	540292	1202585
310	542073	1200928
311	543744	1199026
312	545533	1197384
313	547249	1195583
314	548965	1193781
315	550678	1191975
316	552367	1190117
317	554158	1188478
318	555883	1186698
319	557662	1185032
320	559407	1183294
321	561213	1181685
322	562954	1179938
323	564693	1178188
324	566345	1176257
325	567984	1174298
326	569712	1172526
327	571377	1170627
328	573032	1168707
329	574648	1166709
330	576307	1164802
331	577992	1162948
332	579693	1161126
333	581490	1159498
334	583361	1158015
335	585183	1156434
336	586860	1154565
337	588545	1152714
338	590230	1150863
339	591897	1148976
