iter	Logloss
422	0.3447737088
423	0.3443350527
424	0.3435793997
425	0.3429770264
426	0.3426454993
427	0.3420565154
428	0.3415963378
429	0.3412039965
430	0.3409621618
431	0.3406592114
432	0.3404011115
433	0.3398107746
434	0.3394524635
435	0.339225816
436	0.3386981462
437	0.3381054939
438	0.3378706206
439	0.3376362558
440	0.33716635
441	0.3368355634
442	0.3365614877
443	0.3363041653
444	0.3357675356
445	0.33550157
446	0.3351152372
447	0.3349501177
448	0.3344871366
449	0.3340946038
450	0.3336933477
451	0.3330509693
452	0.33269218
453	0.3322102142
454	0.3319840614
455	0.3313295049
456	0.3310439962
457	0.3304591946
458	0.3301644469
459	0.3296256453
460	0.3292321803
461	0.3285605162
462	0.3282361378
463	0.3277124894
464	0.3274210737
465	0.3267994704
466	0.3261311333
467	0.3257971215
468	0.3255604405
469	0.3252079676
470	0.3248158498
471	0.3242121102
